,name,developer,platform,genre,total_sales,na_sales,eu_sales,japan_sales,other_sales,release_year
380, Kung-Fu Master     ,Activision  ,2600,Action,0.65,0.60,0.04,0.01,0.01,1987
381, LEGO Dimensions     ,Traveller's Tales  ,WiiU,Action,0.65,0.37,0.22,0.01,0.06,2015
382, Harry Potter and the Half-Blood Prince     ,Bright Light Productions  ,PS2,Action,0.64,0.13,0.07,0.01,0.44,2009
383, Batman: Return to Arkham     ,Rocksteady Studios  ,PS4,Action,0.64,0.15,0.39,0.01,0.10,2016
384, Sengoku Basara: Samurai Heroes     ,Capcom  ,PS3,Action,0.64,0.17,0.04,0.40,0.02,2010
385, Real Heroes: Firefighter    Read the review ,Epicenter Studios  ,Wii,Action,0.64,0.56,0.04,0.01,0.05,2009
386, X2: Wolverine's Revenge     ,GenePool  ,PS2,Action,0.64,0.31,0.24,0.01,0.08,2003
387, Dead Island: Riptide    Read the review ,Techland  ,PS3,Action,0.64,0.26,0.21,0.07,0.10,2013
388, Onimusha: Dawn of Dreams     ,Capcom  ,PS2,Action,0.64,0.15,0.12,0.34,0.04,2006
389, Crash of the Titans     ,SuperVillain Studios  ,PSP,Action,0.64,0.25,0.25,0.01,0.15,2007
390, Nightmare Creatures     ,Kalisto Entertainment  ,PS,Action,0.63,0.35,0.24,0.01,0.04,1997
391, LEGO Star Wars II: The Original Trilogy     ,Traveller's Tales  ,X360,Action,0.63,0.55,0.03,0.01,0.05,2006
392, Iron Man     ,Artificial Mind and Movement  ,PSP,Action,0.63,0.46,0.09,0.01,0.09,2008
393, The Lord of the Rings: Conquest    Read the review ,Pandemic Studios  ,X360,Action,0.63,0.37,0.20,0.01,0.06,2009
394, LEGO The Incredibles     ,Traveller's Tales  ,NS,Action,0.63,0.35,0.21,0.01,0.06,2018
395, LEGO Pirates of the Caribbean: The Video Game     ,TT Fusion  ,3DS,Action,0.63,0.29,0.28,0.01,0.06,2011
396, X-Man     ,Universal Gamex  ,2600,Action,0.63,0.58,0.04,0.01,0.01,1983
397, Transformers: Revenge of the Fallen    Read the review ,Luxoflux Corp.  ,X360,Action,0.63,0.34,0.23,0.01,0.06,2009
398, Ghostbusters: The Video Game    Read the review ,Terminal Reality  ,X360,Action,0.62,0.43,0.14,0.01,0.06,2009
399, Metal Gear Solid 2: Substance     ,Konami Computer Entertainment Japan  ,XB,Action,0.62,0.38,0.22,0.01,0.03,2002
400, Warriors Orochi 3     ,Omega Force  ,PS3,Action,0.62,0.01,0.04,0.57,0.01,2012
401, Disney Universe     ,Disney Interactive Studios  ,PS3,Action,0.62,0.30,0.23,0.01,0.09,2011
402, Viewtiful Joe     ,Clover Studio  ,GC,Action,0.62,0.38,0.10,0.12,0.02,2003
403, Halloween     ,Wizard Video Games  ,2600,Action,0.62,0.58,0.03,0.01,0.01,1983
404, Prince of Persia: The Forgotten Sands     ,Ubisoft Montreal  ,X360,Action,0.62,0.30,0.26,0.00,0.06,2010
405, Harry Potter and the Half-Blood Prince     ,Bright Light Productions  ,DS,Action,0.62,0.20,0.34,0.00,0.07,2009
406, Samurai Warriors 2     ,Omega Force  ,PS2,Action,0.61,0.02,0.02,0.57,0.01,2006
407, Tomb Raider Chronicles     ,Core Design Ltd.  ,PS,Action,0.61,0.34,0.23,0.01,0.04,2000
408, Dragon Ball Z: Buu's Fury     ,Webfoot Technologies  ,GBA,Action,0.61,0.44,0.16,0.01,0.01,2004
409, James Cameron's Avatar: The Game     ,Ubisoft Montreal  ,PSP,Action,0.61,0.22,0.25,0.01,0.14,2009
410, Spider-Man: Mysterio's Menace     ,Vicarious Visions  ,GBA,Action,0.61,0.43,0.16,0.01,0.01,2001
411, Ben 10: Alien Force     ,Monkey Bar Games  ,PSP,Action,0.60,0.36,0.14,0.01,0.11,2008
412, Jaws Unleashed     ,Appaloosa Interactive  ,PS2,Action,0.60,0.50,0.02,0.01,0.08,2006
413, International Superstar Soccer '98     ,Konami  ,N64,Action,0.60,0.06,0.30,0.21,0.03,1998
414, Transformers: The Game     ,Traveller's Tales  ,X360,Action,0.60,0.51,0.04,0.01,0.05,2007
415, Transformers: War for Cybertron     ,High Moon Studios  ,X360,Action,0.59,0.39,0.15,0.01,0.05,2010
416, Smurf: Rescue In Gargamel's Castle     ,Coleco  ,2600,Action,0.59,0.55,0.03,0.01,0.01,1982
417, Assassin's Creed: Brotherhood     ,Ubisoft Montreal  ,PC,Action,0.59,0.16,0.34,0.01,0.09,2011
418, Barbie: Race & Ride     ,Runecraft  ,PS,Action,0.59,0.33,0.22,0.01,0.04,1999
419, Iron Man     ,Secret Level  ,Wii,Action,0.59,0.30,0.22,0.01,0.06,2008
420, Naruto: The Broken Bond     ,Ubisoft Montreal  ,X360,Action,0.59,0.24,0.28,0.01,0.06,2008
421, Skylanders: Spyro's Adventure     ,Toys for Bob  ,3DS,Action,0.58,0.33,0.20,0.01,0.05,2011
422, SpongeBob SquarePants Featuring Nicktoons: Globs of Doom     ,Incinerator Studios  ,PS2,Action,0.58,0.29,0.22,0.01,0.07,2008
423, TMNT     ,Ubisoft Montreal  ,X360,Action,0.58,0.50,0.03,0.01,0.05,2007
424, Lost: Via Domus     ,Ubisoft Montreal  ,X360,Action,0.58,0.18,0.34,0.01,0.07,2008
425, Middle-Earth: Shadow of Mordor     ,Monolith Productions  ,PS3,Action,0.58,0.22,0.26,0.01,0.09,2014
426, Phineas and Ferb: Across the 2nd Dimension     ,High Impact Games  ,Wii,Action,0.58,0.35,0.18,0.01,0.05,2011
427, Terminator 3: Rise of the Machines     ,Black Ops Entertainment  ,PS2,Action,0.58,0.28,0.22,0.01,0.07,2003
428, DEFIANCE     ,Trion Worlds  ,X360,Action,0.58,0.38,0.14,0.01,0.05,2013
429, Tom Clancy's HAWX     ,Ubisoft Romania  ,X360,Action,0.58,0.31,0.19,0.02,0.06,2009
430, Go Diego Go! Great Dinosaur Rescue     ,High Voltage Software  ,Wii,Action,0.58,0.52,0.02,0.01,0.04,2008
431, Tenchu 2: Birth of the Stealth Assassins     ,Acquire  ,PS,Action,0.58,0.32,0.22,0.01,0.04,2000
432, Transformers: The Game     ,Traveller's Tales  ,Wii,Action,0.58,0.50,0.03,0.01,0.05,2007
433, The Lego Ninjago Movie Videogame     ,Traveller's Tales  ,PS4,Action,0.57,0.16,0.32,0.01,0.09,2017
434, Yokai Sangokushi     ,Level 5  ,3DS,Action,0.57,0.01,0.01,0.57,0.01,2016
435, Tomb Raider: Anniversary     ,Crystal Dynamics  ,PSP,Action,0.57,0.21,0.23,0.01,0.13,2007
436, Resident Evil: Revelations 2     ,Capcom  ,PS4,Action,0.57,0.14,0.25,0.11,0.07,2015
437, LEGO Marvel Super Heroes 2    Read the review ,Traveller's Tales  ,XOne,Action,0.57,0.32,0.20,0.01,0.05,2017
438, Lego Marvel Super Heroes: Universe in Peril     ,TT Fusion  ,PSV,Action,0.57,0.11,0.33,0.01,0.13,2014
439, Spyro Orange: The Cortex Conspiracy     ,Vicarious Visions  ,GBA,Action,0.57,0.41,0.15,0.01,0.01,2004
440, Ben 10: Alien Force     ,Monkey Bar Games  ,PS2,Action,0.57,0.22,0.02,0.01,0.33,2008
441, Iron Man     ,Secret Level  ,X360,Action,0.57,0.27,0.24,0.01,0.06,2008
442, Nazo no Murasame-Jou (FDS)     ,Nintendo EAD  ,NES,Action,0.57,0.01,0.01,0.57,0.01,1986
443, Disney Universe     ,Disney Interactive Studios  ,X360,Action,0.57,0.37,0.14,0.01,0.05,2011
444, Dynasty Warriors 5: Xtreme Legends     ,Omega Force  ,PS2,Action,0.57,0.11,0.08,0.35,0.03,2005
445, SpongeBob SquarePants Featuring Nicktoons: Globs of Doom     ,Natsume  ,DS,Action,0.57,0.52,0.00,0.01,0.04,2008
446, Resident Evil Outbreak File #2     ,Capcom Production Studio 1  ,PS2,Action,0.57,0.19,0.15,0.17,0.05,2005
447, Bob the Builder: Can We Fix It?     ,Steel Monkeys  ,PS,Action,0.57,0.31,0.21,0.01,0.04,2001
448, LEGO Jurassic World    Read the review ,Traveller's Tales  ,WiiU,Action,0.57,0.29,0.20,0.03,0.05,2015
449, True Crime: Streets of LA     ,EXAKT Entertainment  ,GC,Action,0.56,0.44,0.11,0.01,0.02,2003
450, Disney Infinity 3.0     ,Avalanche Software  ,PS3,Action,0.56,0.22,0.25,0.01,0.09,2015
451, Army Men: Sarge's Heroes     ,3DO  ,PS,Action,0.56,0.31,0.21,0.01,0.04,2000
452, Tom Clancy's HAWX     ,Ubisoft Romania  ,PS3,Action,0.56,0.21,0.22,0.05,0.09,2009
453, Resident Evil 2     ,Angel Studios  ,N64,Action,0.56,0.39,0.09,0.07,0.01,1999
454, Manhunt 2     ,Rockstar London  ,PS2,Action,0.56,0.27,0.21,0.01,0.07,2007
455, Assassin's Creed: Unity     ,Ubisoft Montreal  ,PC,Action,0.56,0.20,0.31,0.01,0.04,2014
456, Batman Begins     ,Eurocom Entertainment Software  ,PS2,Action,0.56,0.27,0.21,0.01,0.07,2005
457, Enslaved: Odyssey to the West     ,Ninja Theory  ,PS3,Action,0.56,0.24,0.23,0.01,0.08,2010
458, No More Heroes     ,Grasshopper Manufacture  ,Wii,Action,0.56,0.29,0.17,0.04,0.05,2008
459, Metal Gear Solid 3: Subsistence     ,Kojima Productions  ,PS2,Action,0.55,0.34,0.01,0.15,0.06,2006
460, The Godfather (old US sales)     ,Headgate  ,XB,Action,0.55,0.42,0.11,0.01,0.02,2006
461, Fighting Force 2     ,Core Design Ltd.  ,PS,Action,0.55,0.31,0.21,0.01,0.04,1999
462, Extermination     ,Deep Space  ,PS2,Action,0.55,0.21,0.16,0.12,0.05,2001
463, Madagascar: Escape 2 Africa     ,Toys for Bob  ,Wii,Action,0.55,0.31,0.18,0.01,0.06,2008
464, Super Robot Taisen F     ,Banpresto  ,SAT,Action,0.55,0.01,0.01,0.55,0.00,1997
