,name,developer,platform,genre,total_sales,na_sales,eu_sales,japan_sales,other_sales,release_year
2906, Metal Gear Solid V: Ground Zeroes     ,Kojima Productions  ,PS3,Action-Adventure,0.59,0.13,0.13,0.28,0.05,2014
2907, Skylanders: SuperChargers     ,Vicarious Visions  ,WiiU,Action-Adventure,0.59,0.32,0.22,0.01,0.05,2015
2908, Starlink: Battle for Atlas     ,Ubisoft Toronto  ,NS,Action-Adventure,0.57,0.35,0.17,0.01,0.05,2018
2909, The Amazing Spider-Man 2 (2014)     ,Beenox  ,PS4,Action-Adventure,0.56,0.20,0.26,0.02,0.09,2014
2910, Metroid: Samus Returns     ,Mercury Steam  ,3DS,Action-Adventure,0.56,0.30,0.15,0.07,0.05,2017
2911, Just Cause 4     ,Avalanche Studios  ,PS4,Action-Adventure,0.56,0.18,0.26,0.03,0.09,2018
2912, Disney Infinity 2.0: Marvel Super Heroes     ,Avalanche Software  ,XOne,Action-Adventure,0.55,0.35,0.15,0.01,0.05,2014
2913, Skylanders: SuperChargers     ,Vicarious Visions  ,X360,Action-Adventure,0.55,0.35,0.15,0.01,0.05,2015
2914, Hitman 2     ,IO Interactive  ,PS4,Action-Adventure,0.51,0.19,0.22,0.02,0.08,2018
2915, Lego Star Wars: The Force Awakens     ,TT Fusion  ,XOne,Action-Adventure,0.50,0.24,0.22,0.01,0.04,2016
2916, Watch Dogs     ,Ubisoft Montreal  ,PC,Action-Adventure,0.49,0.19,0.27,0.01,0.04,2014
2917, Batman: Arkham Origins Blackgate    Read the review ,Armature Studio  ,PSV,Action-Adventure,0.48,0.16,0.21,0.01,0.11,2013
2918, LEGO The Hobbit     ,Traveller's Tales  ,PS3,Action-Adventure,0.47,0.12,0.28,0.01,0.07,2014
2919, State of Decay 2    Read the review ,Undead Labs  ,XOne,Action-Adventure,0.46,0.27,0.14,0.01,0.04,2018
2920, LEGO DC Super-Villains     ,Traveller's Tales  ,PS4,Action-Adventure,0.46,0.22,0.17,0.01,0.08,2018
2921, LEGO The Hobbit     ,Traveller's Tales  ,X360,Action-Adventure,0.46,0.20,0.22,0.01,0.04,2014
2922, Skylanders: SuperChargers     ,Vicarious Visions  ,PS4,Action-Adventure,0.45,0.29,0.09,0.01,0.08,2015
2923, Terraria    Read the review ,Engine Software  ,PS3,Action-Adventure,0.45,0.09,0.21,0.09,0.06,2013
2924, LEGO DC Super-Villains     ,Traveller's Tales  ,NS,Action-Adventure,0.44,0.28,0.12,0.01,0.04,2018
2925, Skylanders: SuperChargers     ,Vicarious Visions  ,PS3,Action-Adventure,0.43,0.20,0.16,0.01,0.07,2015
2926, LEGO The Lord of the Rings     ,TT Fusion  ,3DS,Action-Adventure,0.41,0.21,0.17,0.01,0.03,2012
2927, LEGO Harry Potter: Years 5-7     ,TT Fusion  ,3DS,Action-Adventure,0.41,0.18,0.19,0.01,0.03,2011
2928, Skylanders: SuperChargers     ,Vicarious Visions  ,XOne,Action-Adventure,0.40,0.31,0.05,0.01,0.04,2015
2929, One Piece Unlimited World: Red    Read the review ,Ganbarion  ,3DS,Action-Adventure,0.39,0.05,0.05,0.28,0.01,2014
2930, LEGO Batman 2: DC Super Heroes     ,TT Fusion  ,PSV,Action-Adventure,0.37,0.16,0.13,0.01,0.08,2012
2931, Resident Evil: Origins Collection     ,Capcom  ,PS4,Action-Adventure,0.37,0.07,0.18,0.07,0.05,2016
2932, Assassin's Creed III     ,Ubisoft Montreal  ,WiiU,Action-Adventure,0.36,0.19,0.14,0.01,0.03,2012
2933, Disney Infinity     ,Altron  ,3DS,Action-Adventure,0.35,0.22,0.11,0.01,0.03,2013
2934, Gravity Rush 2     ,SIE Japan Studio  ,PS4,Action-Adventure,0.35,0.13,0.05,0.13,0.04,2017
2935, Lego Star Wars: The Force Awakens     ,TT Fusion  ,PS3,Action-Adventure,0.35,0.07,0.22,0.01,0.05,2016
2936, Lego Legends of Chima: Laval's Journey     ,TT Fusion  ,3DS,Action-Adventure,0.34,0.20,0.11,0.01,0.03,2013
2937, Murdered: Soul Suspect    Read the review ,Airtight Games  ,PS4,Action-Adventure,0.33,0.09,0.17,0.02,0.05,2014
2938, Batman: Arkham Origins     ,Warner Bros. Interactive Entertainment  ,WiiU,Action-Adventure,0.32,0.19,0.10,0.00,0.03,2013
2939, Sonic Boom: Rise of Lyric    Read the review ,Big Red Button  ,WiiU,Action-Adventure,0.31,0.19,0.09,0.01,0.03,2014
2940, The LEGO Movie Videogame    Read the review ,TT Fusion  ,PSV,Action-Adventure,0.31,0.04,0.20,0.01,0.07,2014
2941, LEGO Ninjago: Shadow of Ronin     ,TT Fusion  ,3DS,Action-Adventure,0.31,0.05,0.19,0.05,0.02,2015
2942, Sorcery     ,The Workshop  ,PS3,Action-Adventure,0.30,0.14,0.11,0.01,0.05,2012
2943, LEGO DC Super-Villains    Read the review ,Traveller's Tales  ,XOne,Action-Adventure,0.30,0.20,0.07,0.01,0.03,2018
2944, Lego Star Wars: The Force Awakens     ,TT Fusion  ,WiiU,Action-Adventure,0.29,0.12,0.13,0.02,0.02,2016
2945, Assassin's Creed IV: Black Flag     ,Ubisoft Montreal  ,WiiU,Action-Adventure,0.29,0.17,0.10,0.01,0.03,2013
2946, One Piece Unlimited World: Red     ,Ganbarion  ,PS3,Action-Adventure,0.29,0.09,0.10,0.06,0.04,2014
2947, Just Cause 4     ,Avalanche Studios  ,XOne,Action-Adventure,0.29,0.17,0.09,0.01,0.03,2018
2948, How to Train Your Dragon 2     ,Torus Games  ,3DS,Action-Adventure,0.28,0.04,0.22,0.01,0.02,2014
2949, Lego Star Wars: The Force Awakens     ,TT Fusion  ,3DS,Action-Adventure,0.28,0.05,0.19,0.02,0.02,2016
2950, Siren: Blood Curse      ,SCE Japan Studio  ,PS3,Action-Adventure,0.28,0.01,0.17,0.09,0.01,2008
2951, LEGO The Hobbit     ,Traveller's Tales  ,XOne,Action-Adventure,0.27,0.13,0.13,0.01,0.02,2014
2952, Metal Gear Solid V: Ground Zeroes     ,Kojima Productions  ,XOne,Action-Adventure,0.27,0.13,0.13,0.01,0.02,2014
2953, Family Guy: Back to the Multiverse     ,Heavy Iron Studios  ,PS3,Action-Adventure,0.27,0.12,0.11,0.01,0.05,2012
2954, Batman: Arkham Origins Blackgate     ,Armature Studio  ,3DS,Action-Adventure,0.27,0.16,0.09,0.01,0.02,2013
2955, Robinson: The Journey     ,Crytek  ,PS4,Action-Adventure,0.27,0.14,0.09,0.01,0.05,2016
2956, Shenmue I & II     ,Sega  ,PS4,Action-Adventure,0.27,0.09,0.10,0.05,0.04,2018
2957, The Amazing Spider-Man 2 (2014)     ,Beenox  ,PS3,Action-Adventure,0.27,0.06,0.14,0.02,0.04,2014
2958, ReCore     ,Armature Studio  ,XOne,Action-Adventure,0.26,0.16,0.06,0.01,0.02,2016
2959, The Amazing Spider-Man 2 (2014)     ,Beenox  ,X360,Action-Adventure,0.25,0.12,0.12,0.01,0.02,2014
2960, LEGO The Hobbit     ,TT Fusion  ,3DS,Action-Adventure,0.25,0.10,0.13,0.01,0.02,2014
2961, Spirit Camera: The Cursed Memoir    Read the review ,Tecmo Koei Games  ,3DS,Action-Adventure,0.25,0.15,0.02,0.06,0.02,2012
2962, Star Trek: The Game     ,Digital Extremes  ,PS3,Action-Adventure,0.25,0.10,0.11,0.01,0.04,2013
2963, Family Guy: Back to the Multiverse     ,Heavy Iron Studios  ,X360,Action-Adventure,0.25,0.14,0.09,0.01,0.02,2012
2964, Far Cry: Primal     ,Ubisoft Montreal  ,PC,Action-Adventure,0.25,0.07,0.16,0.01,0.02,2016
2965, Lego Star Wars: The Force Awakens     ,TT Fusion  ,X360,Action-Adventure,0.24,0.08,0.14,0.01,0.02,2016
2966, Darksiders II: Deathinitive Edition     ,Gunfire Games  ,PS4,Action-Adventure,0.24,0.10,0.10,0.01,0.04,2015
2967, Skylanders: SuperChargers Racing     ,Beenox  ,Wii,Action-Adventure,0.23,0.07,0.15,0.01,0.02,2015
2968, LEGO The Hobbit     ,Traveller's Tales  ,WiiU,Action-Adventure,0.23,0.09,0.11,0.01,0.02,2014
2969, No Man's Sky     ,Hello Games  ,XOne,Action-Adventure,0.23,0.17,0.04,0.01,0.02,2018
2970, The Amazing Spider-Man 2 (2014)     ,Beenox  ,XOne,Action-Adventure,0.22,0.12,0.08,0.01,0.02,2014
2971, Hitman 2     ,IO Interactive  ,XOne,Action-Adventure,0.22,0.14,0.06,0.01,0.02,2018
2972, Judgment     Read the review ,Sega  ,PS4,Action-Adventure,0.22,0.01,0.01,0.22,0.01,2019
2973, Star Trek: The Game     ,Digital Extremes  ,X360,Action-Adventure,0.21,0.12,0.08,0.01,0.02,2013
2974, Tom Clancy's Splinter Cell: Blacklist     ,Ubisoft Toronto  ,PC,Action-Adventure,0.21,0.06,0.14,0.01,0.02,2013
2975, Conan Exiles     ,Funcom Oslo A/S  ,PS4,Action-Adventure,0.21,0.05,0.05,0.09,0.02,2018
2976, The Amazing Spider-Man (2012)    Read the review ,Beenox  ,3DS,Action-Adventure,0.21,0.16,0.03,0.01,0.02,2012
2977, State of Decay: Year One Survival Edition     ,Undead Labs  ,XOne,Action-Adventure,0.21,0.14,0.05,0.01,0.02,2015
2978, Castlevania: Lords of Shadow 2     ,Mercury Steam  ,PS3,Action-Adventure,0.20,0.03,0.13,0.02,0.03,2014
2979, Code of Princess    Read the review ,Studio Saizensen  ,3DS,Action-Adventure,0.20,0.16,0.01,0.03,0.02,2012
2980, The Amazing Spider-Man (2012)     ,Other Ocean Interactive  ,DS,Action-Adventure,0.20,0.15,0.03,0.01,0.02,2012
2981, Sleeping Dogs: Definitive Edition     ,United Front Games  ,XOne,Action-Adventure,0.20,0.10,0.09,0.01,0.02,2014
2982, Skylanders: SuperChargers Racing     ,Beenox  ,3DS,Action-Adventure,0.20,0.11,0.07,0.01,0.02,2015
2983, How to Train Your Dragon 2     ,Torus Games  ,Wii,Action-Adventure,0.19,0.04,0.14,0.01,0.01,2014
2984, Lego Star Wars: The Force Awakens     ,TT Fusion  ,PSV,Action-Adventure,0.18,0.02,0.10,0.02,0.03,2016
2985, How to Train Your Dragon 2     ,Torus Games  ,X360,Action-Adventure,0.18,0.06,0.10,0.01,0.01,2014
2986, Murdered: Soul Suspect     ,Airtight Games  ,XOne,Action-Adventure,0.17,0.08,0.07,0.01,0.01,2014
2987, Dead Rising 4: Frank's Big Package     ,Capcom  ,PS4,Action-Adventure,0.16,0.08,0.05,0.01,0.03,2017
2988, Just Cause 3     ,Avalanche Studios  ,PC,Action-Adventure,0.16,0.03,0.12,0.01,0.01,2015
2989, Adventure Time: Explore the Dungeon Because I Don't Know!     ,Way Forward  ,3DS,Action-Adventure,0.16,0.10,0.04,0.01,0.01,2013
2990, Legends of Chima: Laval's Journey     ,TT Fusion  ,PSV,Action-Adventure,0.16,0.01,0.11,0.01,0.04,2013
2991, Naruto Powerful Shippuden     ,Namco Bandai Games  ,3DS,Action-Adventure,0.16,0.08,0.02,0.04,0.01,2013
2992, Darksiders II     ,Vigil Games  ,WiiU,Action-Adventure,0.16,0.07,0.07,0.01,0.01,2012
2993, Castlevania: Lords of Shadow - Mirror of Fate    Read the review ,Mercury Steam  ,3DS,Action-Adventure,0.16,0.04,0.08,0.03,0.01,2013
2994, LEGO The Hobbit     ,TT Fusion  ,PSV,Action-Adventure,0.16,0.02,0.10,0.01,0.03,2014
2995, The Amazing Spider-Man (2012)     ,Beenox  ,Wii,Action-Adventure,0.16,0.10,0.04,0.01,0.01,2012
2996, Metal Gear Solid V: The Phantom Pain     ,Kojima Productions  ,X360,Action-Adventure,0.16,0.10,0.05,0.01,0.01,2015
2997, Gravity Rush Remastered     ,Bluepoint Games  ,PS4,Action-Adventure,0.16,0.02,0.06,0.05,0.02,2016
2998, Assassin's Creed Rogue Remastered     ,Ubisoft  ,PS4,Action-Adventure,0.15,0.01,0.13,0.01,0.02,2018
2999, One Piece Unlimited World: Red     ,Ganbarion  ,PSV,Action-Adventure,0.15,0.04,0.04,0.04,0.03,2014
3000, Okami HD     ,HexaDrive  ,PS3,Action-Adventure,0.14,0.01,0.01,0.14,0.01,2012
3001, Murdered: Soul Suspect     ,Airtight Games  ,PS3,Action-Adventure,0.14,0.05,0.05,0.02,0.02,2014
3002, We Happy Few     ,Compulsion Games  ,PS4,Action-Adventure,0.14,0.08,0.04,0.01,0.02,2018
3003, Rodea the Sky Soldier     ,Kadokawa Games  ,WiiU,Action-Adventure,0.14,0.10,0.02,0.01,0.01,2015
3004, Metal Gear Solid V: Ground Zeroes     ,Kojima Productions  ,X360,Action-Adventure,0.14,0.06,0.05,0.01,0.01,2014
3005, Watch Dogs     ,Ubisoft Montreal  ,WiiU,Action-Adventure,0.13,0.07,0.05,0.01,0.01,2014
3006, Tom Clancy's Splinter Cell: Blacklist     ,Ubisoft Shanghai  ,WiiU,Action-Adventure,0.13,0.04,0.07,0.01,0.01,2013
3007, LEGO Batman 2: DC Super Heroes     ,Traveller's Tales  ,WiiU,Action-Adventure,0.12,0.04,0.07,0.01,0.01,2013
3008, Darksiders: Warmastered Edition     ,Kaiko  ,PS4,Action-Adventure,0.11,0.07,0.02,0.01,0.02,2016
3009, Fatal Frame 2: Wii Edition     ,Koei Tecmo Games  ,Wii,Action-Adventure,0.11,0.01,0.00,0.10,0.00,2012
3010, How to Train Your Dragon 2     ,Torus Games  ,PS3,Action-Adventure,0.10,0.03,0.06,0.01,0.02,2014
3011, Terraria     ,Engine Software  ,PSV,Action-Adventure,0.10,0.01,0.01,0.09,0.00,2013
3012, Starlink: Battle for Atlas     ,Ubisoft Toronto  ,PS4,Action-Adventure,0.10,0.08,0.01,0.01,0.02,2018
3013, Starlink: Battle for Atlas     ,Ubisoft Toronto  ,XOne,Action-Adventure,0.10,0.09,0.01,0.01,0.01,2018
3014, Murdered: Soul Suspect     ,Airtight Games  ,X360,Action-Adventure,0.10,0.06,0.03,0.01,0.01,2014
3015, SpongeBob: HeroPants     ,Behaviour Interactive  ,X360,Action-Adventure,0.10,0.09,0.00,0.01,0.01,2015
3016, Resident Evil 4     ,Capcom  ,PS4,Action-Adventure,0.10,0.07,0.01,0.01,0.02,2016
3017, Resident Evil: Origins Collection     ,Capcom  ,XOne,Action-Adventure,0.10,0.07,0.02,0.01,0.01,2016
3018, We Happy Few     ,Compulsion Games  ,XOne,Action-Adventure,0.09,0.07,0.01,0.01,0.01,2018
3019, Castlevania: Lords of Shadow 2     ,Mercury Steam  ,X360,Action-Adventure,0.09,0.02,0.06,0.01,0.01,2014
3020, Invizimals: The Alliance     ,Novarama  ,PSV,Action-Adventure,0.09,0.00,0.07,0.01,0.02,2014
3021, The Amazing Spider-Man (2012)     ,Beenox  ,WiiU,Action-Adventure,0.09,0.05,0.04,0.01,0.01,2013
3022, How to Train Your Dragon 2     ,Torus Games  ,WiiU,Action-Adventure,0.08,0.03,0.05,0.01,0.01,2014
3023, Darksiders II: Deathinitive Edition     ,Gunfire Games  ,XOne,Action-Adventure,0.08,0.05,0.03,0.01,0.01,2015
3024, Akiba's Trip Plus     ,Acquire  ,PSP,Action-Adventure,0.08,0.01,0.01,0.08,0.01,2012
3025, Adventure Time: Explore the Dungeon Because I Don't Know!     ,Way Forward  ,X360,Action-Adventure,0.08,0.03,0.04,0.01,0.01,2013
3026, Disney Infinity 2.0: Marvel Super Heroes     ,Avalanche Software  ,PSV,Action-Adventure,0.08,0.01,0.06,0.01,0.02,2015
3027, ARK: Survival Evolved     ,Studio Wildcard  ,NS,Action-Adventure,0.08,0.07,0.01,0.01,0.01,2018
3028, Disneyland Adventures     ,Asobo Studio  ,XOne,Action-Adventure,0.07,0.05,0.01,0.01,0.01,2017
3029, Shenmue I & II     ,Sega  ,XOne,Action-Adventure,0.07,0.05,0.01,0.01,0.01,2018
3030,  City Shrouded in Shadow     ,Granzella  ,PS4,Action-Adventure,0.07,0.01,0.01,0.07,0.01,2017
3031, One Piece Unlimited World: Red     ,Ganbarion  ,WiiU,Action-Adventure,0.07,0.01,0.04,0.03,0.00,2014
3032, Penguins of Madagascar     ,Little Orbit  ,3DS,Action-Adventure,0.07,0.01,0.06,0.01,0.00,2014
3033, The Amazing Spider-Man 2 (2014)     ,High Voltage Software  ,3DS,Action-Adventure,0.06,0.03,0.03,0.01,0.01,2014
3034, Asterix and Obelix XXL2     ,Microids  ,NS,Action-Adventure,0.06,0.01,0.06,0.01,0.00,2018
3035, Conan Exiles     ,Funcom Oslo A/S  ,XOne,Action-Adventure,0.06,0.05,0.01,0.01,0.01,2018
3036, Assassin's Creed Odyssey     ,Ubisoft Quebec  ,PC,Action-Adventure,0.06,0.01,0.06,0.01,0.00,2018
3037, The Amazing Spider-Man 2 (2014)     ,Beenox  ,WiiU,Action-Adventure,0.06,0.03,0.03,0.01,0.00,2014
3038, Disaster Report 4 Plus: Summer Memories     ,Granzella  ,PS4,Action-Adventure,0.05,0.01,0.01,0.05,0.01,2020
3039, Rodea the Sky Soldier     ,Kadokawa Games  ,3DS,Action-Adventure,0.05,0.04,0.00,0.01,0.01,2015
3040, Yakuza 3     ,Sega  ,PS4,Action-Adventure,0.05,0.01,0.01,0.05,0.01,2018
3041, Hellblade: Senua's Sacrifice     ,Ninja Theory  ,PS4,Action-Adventure,0.05,0.03,0.01,0.01,0.01,2018
3042, rain    Read the review ,PlayStation C.A.M.P.!  ,PS3,Action-Adventure,0.05,0.01,0.01,0.05,0.01,2013
3043, Resident Evil 4     ,Capcom  ,XOne,Action-Adventure,0.05,0.04,0.01,0.01,0.01,2016
3044, Adventure Time: Explore the Dungeon Because I Don't Know!     ,Way Forward  ,PS3,Action-Adventure,0.05,0.02,0.02,0.01,0.01,2013
3045, Yomawari: The Long Night Collection    Read the review ,Nippon Ichi Software  ,NS,Action-Adventure,0.05,0.04,0.01,0.01,0.00,2018
3046, SpongeBob: HeroPants     ,Behaviour Interactive  ,3DS,Action-Adventure,0.05,0.04,0.01,0.01,0.01,2015
3047, Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta     ,FuRyu  ,3DS,Action-Adventure,0.04,0.01,0.01,0.04,0.01,2014
3048, Hotel Transylvania 3: Monsters Overboard     ,Torus Games  ,XOne,Action-Adventure,0.04,0.04,0.01,0.01,0.00,2018
3049, Earthfall     ,Holospark  ,PS4,Action-Adventure,0.04,0.03,0.01,0.01,0.01,2018
3050, Darksiders: Warmastered Edition     ,Kaiko  ,XOne,Action-Adventure,0.04,0.04,0.01,0.01,0.00,2016
3051, Adventure Time: Explore the Dungeon Because I Don't Know!     ,Way Forward  ,WiiU,Action-Adventure,0.04,0.02,0.02,0.01,0.00,2013
3052, Ukiyo no Shishi     ,Spike Chunsoft  ,PS3,Action-Adventure,0.04,0.01,0.01,0.04,0.01,2015
3053, Assassin's Creed Chronicles: China     ,Climax Studios  ,PS4,Action-Adventure,0.04,0.01,0.03,0.01,0.01,2015
3054, Asterix and Obelix XXL2     ,Microids  ,PS4,Action-Adventure,0.04,0.01,0.03,0.01,0.01,2018
3055, Hotel Transylvania 3: Monsters Overboard     ,Torus Games  ,PS4,Action-Adventure,0.04,0.03,0.01,0.01,0.01,2018
3056, Hunter x Hunter: Wonder Adventure     ,Namco Bandai Games  ,PSP,Action-Adventure,0.04,0.01,0.01,0.04,0.01,2012
3057, Assassin's Creed Rogue Remastered    Read the review ,Ubisoft  ,XOne,Action-Adventure,0.04,0.01,0.03,0.01,0.00,2018
3058, Monster Boy and the Cursed Kingdom    Read the review ,Game Atelier  ,NS,Action-Adventure,0.04,0.03,0.01,0.01,0.00,2018
3059, The Persistence    Read the review ,Firesprite  ,PS4,Action-Adventure,0.04,0.01,0.03,0.01,0.01,2018
3060, Penguins of Madagascar     ,Little Orbit  ,WiiU,Action-Adventure,0.03,0.01,0.02,0.01,0.00,2014
3061, Earthfall     ,Holospark  ,XOne,Action-Adventure,0.03,0.03,0.01,0.01,0.00,2018
3062, Power Rangers Super Megaforce      ,7thChord  ,3DS,Action-Adventure,0.03,0.01,0.01,0.01,0.00,2014
3063, Override: Mech City Brawl     ,The Balance Inc  ,PS4,Action-Adventure,0.03,0.02,0.01,0.01,0.01,2018
3064, Beast Quest     ,Torus Games  ,PS4,Action-Adventure,0.03,0.02,0.01,0.01,0.01,2018
3065, Record of Grancrest War     ,Bandai Namco  ,PS4,Action-Adventure,0.03,0.01,0.01,0.03,0.01,2018
3066, Legends of Chima: Laval's Journey     ,TT Fusion  ,DS,Action-Adventure,0.03,0.01,0.03,0.01,0.00,2013
3067, Star Trek: The Game     ,Digital Extremes  ,PC,Action-Adventure,0.03,0.00,0.02,0.01,0.00,2013
3068, Ukiyo no Roushi     ,Spike Chunsoft  ,PSV,Action-Adventure,0.03,0.01,0.01,0.03,0.01,2015
3069, Beast Quest     ,Torus Games  ,XOne,Action-Adventure,0.03,0.02,0.01,0.01,0.00,2018
3070, Onimusha: Warlords     ,Capcom  ,PS4,Action-Adventure,0.03,0.01,0.01,0.03,0.01,2019
3071, Darksiders: Warmastered Edition     ,Kaiko  ,WiiU,Action-Adventure,0.03,0.01,0.01,0.01,0.00,2017
3072, Agony     ,Madmind Studio  ,PS4,Action-Adventure,0.03,0.02,0.01,0.01,0.00,2018
3073, The Girl and the Robot     ,Flying Carpets Games  ,PS4,Action-Adventure,0.03,0.02,0.01,0.01,0.00,2017
3074, République     ,Camouflaj  ,PS4,Action-Adventure,0.02,0.01,0.01,0.01,0.00,2016
3075, Resident Evil: Value Pack     ,Capcom  ,PS4,Action-Adventure,0.02,0.01,0.01,0.02,0.01,2016
3076, Agony     ,Madmind Studio  ,XOne,Action-Adventure,0.02,0.02,0.01,0.01,0.00,2018
3077, Override: Mech City Brawl     ,The Balance Inc  ,XOne,Action-Adventure,0.02,0.02,0.01,0.01,0.00,2018
3078, Border Break     ,Sega  ,PS4,Action-Adventure,0.02,0.01,0.01,0.02,0.01,2018
3079, Invizimals: The Lost Kingdom     ,Novarama  ,PS3,Action-Adventure,0.02,0.01,0.02,0.01,0.00,2014
3080, Kamiwaza Wanda: Kira Kira Ichibangai Kikiippatsu!     ,FuRyu  ,3DS,Action-Adventure,0.02,0.01,0.01,0.02,0.01,2016
3081, SpongeBob: HeroPants     ,Behaviour Interactive  ,PSV,Action-Adventure,0.02,0.01,0.00,0.01,0.00,2015
3082, Adventure Time: The Secret of the Nameless      ,Way Forward Technologies  ,3DS,Action-Adventure,0.02,0.01,0.01,0.01,0.00,2014
3083, Penguins of Madagascar     ,Little Orbit  ,Wii,Action-Adventure,0.02,0.00,0.01,0.01,0.00,2014
3084, Max: The Curse of Brotherhood     ,Stage Clear Studios  ,NS,Action-Adventure,0.01,0.01,0.01,0.01,0.00,2018
3085, Brave: The Video Game     ,Behaviour Interactive Inc.  ,Wii,Action-Adventure,0.01,0.01,0.01,0.01,0.00,2012
3086, Phineas and Ferb: Quest for Cool Stuff     ,Disney Interactive Studios  ,WiiU,Action-Adventure,0.01,0.01,0.01,0.01,0.00,2013
3087, Brave: The Video Game     ,Behaviour Interactive Inc.  ,DS,Action-Adventure,0.01,0.01,0.01,0.01,0.00,2012
3088, Far Cry 3: Classic Edition     ,Ubisoft Montreal  ,PS4,Action-Adventure,0.01,0.01,0.01,0.01,0.01,2018
3089, Adventure Time: The Secret of the Nameless Kingdom     ,Way Forward  ,X360,Action-Adventure,0.01,0.01,0.01,0.01,0.00,2014
3090, Hotel Transylvania 3: Monsters Overboard     ,Torus Games  ,NS,Action-Adventure,0.01,0.01,0.01,0.01,0.00,2018
3091, Onimusha: Warlords     ,Capcom  ,NS,Action-Adventure,0.01,0.01,0.01,0.01,0.01,2019
3092, The Amazing Spider-Man 2 (2014)     ,Beenox  ,PC,Action-Adventure,0.01,0.01,0.01,0.01,0.00,2014
3093, LEGO Ninjago Nindroids     ,Hellbent Games  ,3DS,Action-Adventure,0.01,0.01,0.01,0.01,0.00,2014
3094, LEGO Batman 2: DC Super Heroes     ,Traveller's Tales  ,PC,Action-Adventure,0.01,0.01,0.01,0.01,0.00,2012
3095, Legend of Kay Anniversary     ,THQ Nordic  ,NS,Action-Adventure,0.01,0.01,0.01,0.01,0.00,2018
3096, Regular Show: Mordecai & Rigby in 8-Bit Land     ,D3 Publisher  ,3DS,Action-Adventure,0.01,0.01,0.00,0.01,0.00,2013
3097, LEGO Ninjago Nindroids     ,Hellbent Games  ,PSV,Action-Adventure,0.00,0.01,0.00,0.01,0.00,2014
3098, Harry Potter for Kinect     ,Eurocom  ,X360,Action-Adventure,0.00,0.01,0.00,0.01,0.00,2009
3099, Assassin's Creed Chronicles: China     ,Climax Studios  ,PC,Action-Adventure,0.00,0.01,0.00,0.01,0.00,2015
3100, The Amazing Spider-Man (2012)     ,Beenox  ,PSV,Action-Adventure,0.00,0.01,0.00,0.01,0.00,2013
3101, The Amazing Spider-Man (2012)     ,Beenox  ,PC,Action-Adventure,0.00,0.00,0.01,0.01,0.00,2012
3102, Resident Evil Zero     ,Capcom  ,PS3,Action-Adventure,0.00,0.01,0.00,0.01,0.00,2016
3103, Rise of the Guardians: The Video Game     ,Torus Games Pty. Ltd.  ,DS,Action-Adventure,0.00,0.01,0.00,0.01,0.01,2012
3104, Tomb Raider II     ,Core Design Ltd.  ,PS,Adventure,5.24,2.30,2.46,0.20,0.28,1997
3105, LEGO Indiana Jones: The Original Adventures     ,Traveller's Tales  ,X360,Adventure,3.76,2.40,1.01,0.01,0.36,2008
3106, Tomb Raider III: Adventures of Lara Croft     ,Core Design Ltd.  ,PS,Adventure,3.54,1.66,1.58,0.12,0.18,1998
3107, LEGO Batman: The Videogame    Read the review ,Traveller's Tales  ,X360,Adventure,3.44,2.07,1.04,0.01,0.34,2008
3108, L.A. Noire     ,Team Bondi  ,PS3,Adventure,3.21,1.29,1.31,0.12,0.49,2011
3109, Club Penguin: Elite Penguin Force     ,1st Playable Productions  ,DS,Adventure,3.14,1.87,0.97,0.01,0.30,2008
3110, LEGO Batman: The Videogame    Read the review ,Traveller's Tales  ,Wii,Adventure,3.08,1.80,0.98,0.01,0.29,2008
3111, LEGO Batman: The Videogame     ,Traveller's Tales  ,DS,Adventure,3.06,1.75,1.02,0.01,0.29,2008
3112, L.A. Noire    Read the review ,Team Bondi  ,X360,Adventure,2.73,1.55,0.92,0.02,0.24,2011
3113, Harry Potter and the Chamber of Secrets     ,Eurocom Entertainment Software  ,PS2,Adventure,2.61,0.90,1.22,0.04,0.44,2002
3114, Grand Theft Auto: Episodes from Liberty City     ,Rockstar North  ,X360,Adventure,2.60,1.08,1.22,0.03,0.27,2009
3115, LEGO Harry Potter: Years 1-4     ,Traveller's Tales  ,Wii,Adventure,2.45,1.29,0.94,0.01,0.22,2010
3116, Frogger's Adventures: Temple of the Frog     ,Konami  ,GBA,Adventure,2.39,2.15,0.18,0.01,0.07,2001
3117, LEGO Indiana Jones: The Original Adventures     ,Traveller's Tales  ,Wii,Adventure,2.35,1.51,0.62,0.01,0.22,2008
3118, LEGO Harry Potter: Years 1-4     ,Traveller's Tales  ,DS,Adventure,2.29,1.07,1.00,0.01,0.22,2010
3119, Tomb Raider II     ,Core Design Ltd.  ,PC,Adventure,2.29,0.91,1.25,0.01,0.13,1997
3120, Prince of Persia: The Sands of Time     ,Ubisoft Montreal  ,PS2,Adventure,2.22,0.88,1.03,0.01,0.31,2003
3121, LEGO Indiana Jones: The Original Adventures     ,Traveller's Tales  ,DS,Adventure,2.20,1.40,0.60,0.01,0.21,2008
3122, Grand Theft Auto: Episodes from Liberty City     ,Rockstar North  ,PS3,Adventure,2.09,0.62,0.99,0.13,0.34,2010
3123, Rise of the Tomb Raider     ,Crystal Dynamics  ,PS4,Adventure,2.07,0.61,1.08,0.05,0.32,2016
